[CONFIG] Review mode: 314 papers in scope
[INVENTORY] Scanning wiki (recursive) and raw directories...

===== Inventory Report =====
  Total papers:           733
  deepread-codex (done):  178
  deepread-mimo (upgrade):16
  needs first deepread:   539
  new raw (no wiki):      0
  have PDFs:              3
===========================

[REVIEW] Filtered to 314 review papers
[PDF] Downloading 311 PDFs with 6 workers...
  [203/311] \u2717 10.1080/10584587.2023.2227051
  [204/311] \u2717 10.1080/10601320701285045
  [205/311] \u2717 10.1080/10601325.2024.2409754
  [206/311] \u2717 10.1080/1536383x.2024.2310697
  [207/311] \u2717 10.1088/1757-899x/223/1/012052
  [208/311] \u2717 10.1109/ee.1941.6434631
  [209/311] \u2717 10.1115/1.4000858
  [210/311] \u2717 10.1155/2015/963436
  [211/311] \u2717 10.1186/s40486-025-00239-z
  [212/311] \u2717 10.1299/jsmeted.2020.0023
  [213/311] \u2717 10.15376/biores.13.1.xu
  [214/311] \u2717 10.17576/jsm-2015-4406-04
  [215/311] \u2717 10.15376/biores.11.3.7710-7720
  [216/311] \u2717 10.18321/ectj524
  [217/311] \u2717 10.19045/bspab.2026.150008
  [218/311] \u2717 10.2139/ssrn.4204630
  [219/311] \u2717 10.2115/fiberst.2018-0004
  [220/311] \u2717 10.2139/ssrn.4397162
  [221/311] \u2717 10.2166/wpt.2023.230
  [222/311] \u2717 10.24200/sci.2017.4285
  [223/311] \u2717 10.2352/j.imagingsci.technol.2025.69.3.030412
  [224/311] \u2717 10.26634/jms.5.1.13484
  [225/311] \u2717 10.26599/nr.2025.94907822
  [226/311] \u2717 10.3139/146.111938
  [227/311] \u2717 10.33140/jpcppr.01.01.01
  [228/311] \u2717 10.3389/fbioe.2020.602318
  [229/311] \u2717 10.3390/antibiotics12050873
  [230/311] \u2717 10.3390/foods6060041
  [231/311] \u2717 10.3390/gels11010038
  [232/311] \u2717 10.3390/foods11111619
  [233/311] \u2717 10.3390/gels11070522
  [234/311] \u2717 10.3390/gels9010020
  [235/311] \u2717 10.3390/ma12101628
  [236/311] \u2717 10.3390/gels7040277
  [237/311] \u2717 10.3390/ma13245789
  [238/311] \u2717 10.3390/ma14206165
  [239/311] \u2717 10.36463/idw.2022.0816
  [240/311] \u2717 10.3390/polym17233102
  [241/311] \u2717 10.3724/sp.j.1105.2011.10137
  [242/311] \u2717 10.3724/sp.j.1077.2008.01011
  [243/311] \u2717 10.3901/jme.2023.07.139
  [244/311] \u2717 10.3901/jme.2020.24.190
  [245/311] \u2717 10.4028/www.scientific.net/amr.1103.9
  [246/311] \u2717 10.4028/www.scientific.net/amm.852.349
  [247/311] \u2717 10.4028/www.scientific.net/msf.1009.3
  [248/311] \u2717 10.2139/ssrn.4193410
  [249/311] \u2717 10.2139/ssrn.4197761
  [250/311] \u2717 10.4028/www.scientific.net/msf.929.136
  [251/311] \u2717 10.4325/seikeikakou.28.326
  [252/311] \u2717 10.47939/et.v2i3.149
  [253/311] \u2717 10.54254/2753-8818/2026.au32025
  [254/311] \u2717 10.54097/ijbls.v2i3.8660
  [255/311] \u2717 10.52340/ns.2022.05
  [256/311] \u2717 10.59717/j.xinn-mater.2024.100092
  [257/311] \u2717 10.5658/wood.2015.43.6.740
  [258/311] \u2717 10.64149/j.carcinog.22.2.166-179
  [259/311] \u2717 10.1002/app.58040
  [260/311] \u2717 10.1002/macp.202500164
  [261/311] \u2717 10.71329/iupjmech/2025.18.2.66-96
  [262/311] \u2717 10.1007/s10118-025-3419-2
  [263/311] \u2717 10.1016/j.carbpol.2024.122271
  [264/311] \u2717 10.1016/j.carbpol.2024.122444
  [265/311] \u2717 10.1016/j.carbpol.2024.122472
  [266/311] \u2717 10.1016/j.carbpol.2024.122936
  [267/311] \u2717 10.1016/j.carbpol.2024.122939
  [268/311] \u2717 10.1016/j.carbpol.2025.123253
  [269/311] \u2717 10.1016/j.carbpol.2025.124312
  [270/311] \u2717 10.1016/j.colsurfa.2025.136757
  [271/311] \u2717 10.1016/j.eurpolymj.2024.113620
  [272/311] \u2717 10.1016/j.ijbiomac.2023.125973
  [273/311] \u2717 10.1016/j.ijbiomac.2023.127396
  [274/311] \u2717 10.1016/j.ijbiomac.2023.129068
  [275/311] \u2717 10.1016/j.ijbiomac.2023.129081
  [276/311] \u2717 10.1016/j.ijbiomac.2024.130732
  [277/311] \u2717 10.1016/j.ijbiomac.2024.132912
  [278/311] \u2717 10.1016/j.ijbiomac.2024.137911
  [279/311] \u2717 10.1016/j.ijbiomac.2024.138188
  [280/311] \u2717 10.1016/j.ijbiomac.2025.141174
  [281/311] \u2717 10.1016/j.ijbiomac.2025.141443
  [282/311] \u2717 10.1016/j.ijbiomac.2025.147477
  [283/311] \u2717 10.1016/j.ijbiomac.2025.143914
  [284/311] \u2717 10.1016/j.ijbiomac.2025.148851
  [285/311] \u2717 10.1016/j.ijpharm.2022.121750
  [286/311] \u2717 10.1016/j.jcis.2024.02.002
  [287/311] \u2717 10.1016/j.jcis.2024.05.102
  [288/311] \u2717 10.1016/j.jcis.2024.08.119
  [289/311] \u2717 10.1016/j.jcis.2024.10.070
  [290/311] \u2717 10.1016/j.polymer.2025.129027
  [291/311] \u2717 10.1016/j.polymer.2025.129279
  [292/311] \u2717 10.1021/acs.biomac.3c00596
  [293/311] \u2717 10.1021/acs.biomac.3c01011
  [294/311] \u2717 10.1021/acs.biomac.4c00578
  [295/311] \u2717 10.1021/acs.chemrev.2c00492
  [296/311] \u2717 10.1021/acs.langmuir.4c02244
  [297/311] \u2717 10.1021/acsaelm.5c01008
  [298/311] \u2717 10.1021/acsami.2c21617
  [299/311] \u2717 10.1021/acsami.4c08592
  [300/311] \u2717 10.1021/acsami.4c13621
  [301/311] \u2717 10.1038/s41524-023-01161-x
  [302/311] \u2717 10.1093/nsr/nwaf541
  [303/311] \u2717 10.3390/gels10010001
  [304/311] \u2717 10.3390/gels10120842
  [305/311] \u2717 10.1088/1748-605X/acd49a
  [306/311] \u2717 10.3390/gels9070546
  [307/311] \u2717 10.3390/nano13050853
  [308/311] \u2717 10.3390/nano14201645
  [309/311] \u2717 10.3390/polym16040530
  [310/311] \u2717 10.3390/polym16070971
  [311/311] \u2717 10.3390/polym16172506

[PDF] Done: 0 OK, 311 failed
